playbooks/lanzamiento-72h	plataforma	
playbooks/llenar-tu-evento	plataforma	
playbooks/post-mortem-del-evento	plataforma	
playbooks/reactivar-fans-inactivos	plataforma	
playbooks/recuperar-carritos-abandonados	plataforma	
playbooks/semana-del-evento	plataforma	
playbooks/vender-en-preventa	plataforma	
segmentacion/buenas-practicas	marketing	basic
segmentacion/capacidades/asistencia	marketing	basic
segmentacion/capacidades/atributos-del-fan	marketing	basic
segmentacion/capacidades/combinaciones	marketing	basic
segmentacion/capacidades/engagement	marketing	basic
segmentacion/capacidades/gasto-y-consumo	marketing	pro
segmentacion/capacidades/index	marketing	basic
segmentacion/capacidades/rfm	marketing	pro
segmentacion/capacidades/score-y-temperatura	marketing	pro
segmentacion/casos/audiencia-con-preferencia	marketing	pro
segmentacion/casos/audiencia-geolocalizada	marketing	basic
segmentacion/casos/carrito-abandonado	marketing	basic
segmentacion/casos/fans-tempranos	marketing	basic
segmentacion/casos/index	marketing	basic
segmentacion/casos/reactivar-fans-inactivos	marketing	pro
segmentacion/casos/top-rfm-vip	marketing	pro
segmentacion/grupos-ab-testing	marketing	pro
segmentacion/preguntas-frecuentes	marketing	basic
segmentacion/segmento-vs-lista	marketing	basic
segmentacion/tu-primer-segmento	marketing	basic
solucion-de-problemas/baja-tasa-de-apertura	plataforma	
solucion-de-problemas/dominio-no-verifica	plataforma	
solucion-de-problemas/emails-a-spam	plataforma	
solucion-de-problemas/mi-numero-de-whatsapp-no-es-elegible	marketing	basic
solucion-de-problemas/ventas-no-atribuidas	plataforma	
superapp/introduccion	experience	pro
superapp/primeros-pasos	experience	pro
superapp/que-es	experience	pro
superapp/referencia	experience	pro
suscripciones/consulta-tus-suscriptores	marketing	basic
suscripciones/crear-formulario	marketing	basic
suscripciones/para-que-sirven	marketing	basic
suscripciones/referencia	marketing	basic
suscripciones/tu-primera-suscripcion	marketing	basic
